TagStatus,Rev,TagNo,PIDNo,Service,InstrumentType,LineSize,LineSpec,FluidName,FluidState,OPMax,OPNor,OPMin,OTMax,OTNor,OTMin,DesignPressInt,DesignPressExt,DesignTempHot,DesignTempCold,FlowMax,FlowNor,FlowMin,MaxAllowDP,Density,Viscosity,MolWeight,CpCv,CompFactorZ,CriticalPress,VaporPress,Flash,ShutOffDP,FailPosition,Remark,FlowUOM,PressUOM,TempUOM,InstRemark1,InstRemark2
,,RO-3145BA,YIP3-0007,GA-3145B SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3145BB,YIP3-0007,GA-3145B SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3155A,YIP3-1003,GA-3155A Discharge,RESTRICTION ORIFICE,"2""",BB55C1,PDI ,L,-,6.21,-,-,84,-,8.9,-,120,-,26,-,-,3.27,905,0.34,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3155B,YIP3-1003,GA-3155B Discharge,RESTRICTION ORIFICE,"2""",BB55C1,PDI ,L,-,6.21,-,-,84,-,8.9,-,120,-,26,-,-,3.27,905,0.34,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3155AX,YIP3-0008,GA-3155A SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3155CX,YIP3-0008,GA-3155A SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3155BX,YIP3-0008,GA-3155B SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3155DX,YIP3-0008,GA-3155B SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3163A,YIP3-1003,GA-3163A Discharge,RESTRICTION ORIFICE,"3/4""",BB55C1,PDI ,L,-,6.5,-,-,73,-,7.7,-,120,-,0.9,-,-,5.4,760.4,0.41,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3163B,YIP3-1003,GA-3163B Discharge,RESTRICTION ORIFICE,"3/4""",BB55C1,PDI ,L,-,6.5,-,-,73,-,7.7,-,120,-,0.9,-,-,5.4,760.4,0.41,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3163AX,YIP3-0009,GA-3163A SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3163CX,YIP3-0009,GA-3163A SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3163BX,YIP3-0009,GA-3163B SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3163DX,YIP3-0009,GA-3163B SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3215AX,YIP3-0007,GA-3215A SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3215CX,YIP3-0007,GA-3215A SEAL PLAN,RESTRICTION ORIFICE,"3/4""",BB57C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3215BX,YIP3-0007,GA-3215B SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3215DX,YIP3-0007,GA-3215B SEAL PLAN,RESTRICTION ORIFICE,"3/4""",BB57C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3216,YIP3-2001,DA-3210 BOTTOMS,RESTRICTION ORIFICE,"1-1/2""",BB57C1,PHE,L,-,5,-,-,103,-,25,-,200,-,1.1,-,-,4.5,615.6,0.14,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3225A,YIP3-2002,GA-3225A/B Discharge,RESTRICTION ORIFICE,"1""",BB57C1,PPR,L,-,22.05,-,-,47,-,28.3,-,120,-,3.7,-,-,1.5,453.1,0.07,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3225B,YIP3-2002,GA-3225A/B Discharge,RESTRICTION ORIFICE,"1""",BB57C1,PPR,L,-,22.05,-,-,47,-,28.3,-,120,-,3.7,-,-,1.5,453.1,0.07,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3225AX,YIP3-0007,GA-3225A SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3225CX,YIP3-0007,GA-3225A SEAL PLAN,RESTRICTION ORIFICE,"3/4""",BB57C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3225BX,YIP3-0007,GA-3225B SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3225DX,YIP3-0007,GA-3225B SEAL PLAN,RESTRICTION ORIFICE,"3/4""",BB57C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3226AA,YIP3-0007,GA-3226A SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3226AC,YIP3-0007,GA-3226A SEAL PLAN,RESTRICTION ORIFICE,"3/4""",BB59C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3226AB,YIP3-0007,GA-3226A SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3226AD,YIP3-0007,GA-3226A SEAL PLAN,RESTRICTION ORIFICE,"3/4""",BB59C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3226BA,YIP3-0007,GA-3226B SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3226BC,YIP3-0007,GA-3226B SEAL PLAN,RESTRICTION ORIFICE,"3/4""",BB59C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3226BB,YIP3-0007,GA-3226B SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3226BD,YIP3-0007,GA-3226B SEAL PLAN,RESTRICTION ORIFICE,"3/4""",BB59C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3313A,YIP3-3001,GA-3313A Discharge,RESTRICTION ORIFICE,"3""",BB55C1,PDI ,L,-,5.58,-,-,97,-,7.6,-,150,-,78.9,-,-,2.46,901.7,0.29,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3313B,YIP3-3001,GA-3313B Discharge,RESTRICTION ORIFICE,"3""",BB55C1,PDI ,L,-,5.58,-,-,97,-,7.6,-,150,-,78.9,-,-,2.46,901.7,0.29,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3313AX,YIP3-0008,GA-3313A SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3313CX,YIP3-0008,GA-3313A SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3313BX,YIP3-0008,GA-3313B SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3313DX,YIP3-0008,GA-3313B SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3315A,YIP3-3001,GA-3315A Discharge,RESTRICTION ORIFICE,"3/4""",BB55C1,PDI ,L,-,6.5,-,-,45,-,8.7,-,120,-,0.9,-,-,4.87,970.2,0.611,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3315B,YIP3-3001,GA-3315B Discharge,RESTRICTION ORIFICE,"3/4""",BB55C1,PDI ,L,-,6.5,-,-,45,-,8.7,-,120,-,0.9,-,-,4.87,970.2,0.611,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3315AX,YIP3-0009,GA-3315A SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3315CX,YIP3-0009,GA-3315A SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3315BX,YIP3-0009,GA-3315B SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3315DX,YIP3-0009,GA-3315B SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3317A,YIP3-3001,GA-3317A Discharge,RESTRICTION ORIFICE,"3/4""",BB55C1,PE,L,-,3.54,-,-,45,-,5.7,-,120,-,0.9,-,-,2.25,690.7,0.24,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3317B,YIP3-3001,GA-3317B Discharge,RESTRICTION ORIFICE,"3/4""",BB55C1,PE,L,-,3.54,-,-,45,-,5.7,-,120,-,0.9,-,-,2.25,690.7,0.24,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3317AX,YIP3-0009,GA-3317A SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3317CX,YIP3-0009,GA-3317A SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3317BX,YIP3-0009,GA-3317B SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3317DX,YIP3-0009,GA-3317B SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3323A,YIP3-3002,GA-3323A Discharge,RESTRICTION ORIFICE,"4""",BB55C1,PWW,L,-,9.09,-,-,133,-,11.9,-,180,-,78.9,-,-,5.43,932.2,0.21,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3323B,YIP3-3002,GA-3323B Discharge,RESTRICTION ORIFICE,"4""",BB55C1,PWW,L,-,9.09,-,-,133,-,11.9,-,180,-,78.9,-,-,5.43,932.2,0.21,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3325A,YIP3-3003,GA-3325A Discharge,RESTRICTION ORIFICE,"1-1/2""",BB55C1,PDI ,L,-,7.81,-,-,50,-,10.2,-,140,-,12.5,-,-,5.78,785.4,0.82,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3325B,YIP3-3003,GA-3325B Discharge,RESTRICTION ORIFICE,"1-1/2""",BB55C1,PDI ,L,-,7.81,-,-,50,-,10.2,-,140,-,12.5,-,-,5.78,785.4,0.82,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3325AX,YIP3-0009,GA-3325A SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3325CX,YIP3-0009,GA-3325A SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3325BX,YIP3-0009,GA-3325B SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3325DX,YIP3-0009,GA-3325B SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3330AX,YIP3-0008,GA-3330A SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3330CX,YIP3-0008,GA-3330A SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3330BX,YIP3-0008,GA-3330B SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3330DX,YIP3-0008,GA-3330B SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3333A,YIP3-3002,GA-3333A Discharge,RESTRICTION ORIFICE,"3/4""",BB55C1,PDI ,L,-,6.73,-,-,118.2,-,8.9,-,160,-,0.9,-,-,3.16,822.7,0.24,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3333B,YIP3-3002,GA-3333B Discharge,RESTRICTION ORIFICE,"3/4""",BB55C1,PDI ,L,-,6.73,-,-,118.2,-,8.9,-,160,-,0.9,-,-,3.16,822.7,0.24,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3333AX,YIP3-0008,GA-3333A SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3333CX,YIP3-0008,GA-3333A SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3333BX,YIP3-0008,GA-3333B SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3333DX,YIP3-0008,GA-3333B SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3353A,YIP3-3004,GA-3353A Discharge,RESTRICTION ORIFICE,"1""",BB55C1,PIP,L,-,6.21,-,-,90,-,8.2,-,120,-,3.5,-,-,3.98,712.9,0.43,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3353B,YIP3-3004,GA-3353B Discharge,RESTRICTION ORIFICE,"1""",BB55C1,PIP,L,-,6.21,-,-,90,-,8.2,-,120,-,3.5,-,-,3.98,712.9,0.43,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3355A,YIP3-3004,GA-3355A/B Discharge,RESTRICTION ORIFICE,"1-1/2""",BB55C1,PS,L,-,4.62,-,-,40,-,7.1,-,120,-,12.5,-,-,1.81,789.4,0.81,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3355B,YIP3-3004,GA-3355A/B Discharge,RESTRICTION ORIFICE,"1-1/2""",BB55C1,PS,L,-,4.62,-,-,40,-,7.1,-,120,-,12.5,-,-,1.81,789.4,0.81,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3355AX,YIP3-0009,GA-3355A SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3355CX,YIP3-0009,GA-3355A SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3355BX,YIP3-0009,GA-3355B SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3355DX,YIP3-0009,GA-3355B SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3356A,YIP3-3004,GA-3356A Discharge,RESTRICTION ORIFICE,"3/4""",BB55C1,PDI ,L,-,5.94,-,-,40,-,8.3,-,120,-,0.9,-,-,4.14,897.5,0.74,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3356B,YIP3-3004,GA-3356B Discharge,RESTRICTION ORIFICE,"3/4""",BB55C1,PDI ,L,-,5.94,-,-,40,-,8.3,-,120,-,0.9,-,-,4.14,897.5,0.74,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3356AX,YIP3-0009,GA-3356A SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3356CX,YIP3-0009,GA-3356A SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3356BX,YIP3-0009,GA-3356B SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3356DX,YIP3-0009,GA-3356B SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3363A,YIP3-3006,GA-3363A Discharge,RESTRICTION ORIFICE,"3/4""",BB55C1,PPW,L,-,6.57,-,-,111,-,8.4,-,140,-,0.9,-,-,4.55,906.7,0.25,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3363B,YIP3-3006,GA-3363B Discharge,RESTRICTION ORIFICE,"3/4""",BB55C1,PPW,L,-,6.57,-,-,111,-,8.4,-,140,-,0.9,-,-,4.55,906.7,0.25,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3365A,YIP3-3006,GA-3365A Discharge,RESTRICTION ORIFICE,"3/4""",BB55C1,PDI ,L,-,4.76,-,-,74,-,6.9,-,120,-,0.9,-,-,2.41,771.7,0.48,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3365B,YIP3-3006,GA-3365B Discharge,RESTRICTION ORIFICE,"3/4""",BB55C1,PDI ,L,-,4.76,-,-,74,-,6.9,-,120,-,0.9,-,-,2.4,771.7,0.48,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3365AX,YIP3-0008,GA-3365A SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3365CX,YIP3-0008,GA-3365A SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3365BX,YIP3-0008,GA-3365B SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3365DX,YIP3-0008,GA-3365B SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3371A,YIP3-3007,GA-3371A Discharge,RESTRICTION ORIFICE,"1""",BB55C1,PDI ,L,-,6.14,-,-,35,-,8.6,-,120,-,3.5,-,-,3.42,780.7,1.54,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-1371A,D-G-1-3007,GA-371B Discharge,RESTRICTION ORIFICE,"1""",BB55C1,PDI ,L,-,6.14,-,-,35,-,8.6,-,120,-,3.5,-,-,3.42,780.7,1.54,-,-,-,-,-,-,-,-,Replaced Item,m3/h,,,100미만 소수점 한자리,
,,RO-3371B,YIP3-3007,GA-3371B Discharge,RESTRICTION ORIFICE,"1""",BB55C1,PDI ,L,-,4.9,-,-,35,-,8.6,-,120,-,4.2,-,-,4.6,780.7,1.54,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3371AX,YIP3-0009,GA-3371A SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3371CX,YIP3-0009,GA-3371A SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3371BX,YIP3-0009,GA-3371B SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3371DX,YIP3-0009,GA-3371B SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3374AX,YIP3-0008,GA-3374A SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3374CX,YIP3-0008,GA-3374A SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3374BX,YIP3-0008,GA-3374B SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3374DX,YIP3-0008,GA-3374B SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3415A,YIP3-4001,GA-3415A Discharge,RESTRICTION ORIFICE,"1""",BB59C1,PPR,L,-,49.28,-,35,25,-,60.5,-,65,-15,6,-,-,32.45,568,0.13,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3415B,YIP3-4001,GA-3415B Discharge,RESTRICTION ORIFICE,"1""",BB59C1,PPR,L,-,49.28,-,35,25,-,60.5,-,65,-15,6,-,-,32.45,568,0.13,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3415AX,YIP3-0009,GA-3415A SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3415CX,YIP3-0009,GA-3415A SEAL PLAN,RESTRICTION ORIFICE,"3/4""",BB59C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3415BX,YIP3-0009,GA-3415B SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3415DX,YIP3-0009,GA-3415B SEAL PLAN,RESTRICTION ORIFICE,"3/4""",BB59C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3416,YIP3-4001,PPR TO FUEL GAS BACK-UP,RESTRICTION ORIFICE,"2""",BB57C1,PPR,V,-,15.2,-,-,AMB,-,25,-,65,-15,66.3,-,-,9.5,13.4,0.01,42.08,1.24,0.88,-,-,-,-,-,,Nm3/h,,,100미만 소수점 한자리,
Deleted,,RO-3417,YIP3-4001,PPR TO F/S PILOT BURNER,RESTRICTION ORIFICE,"1""",BB57C1,PPR,V,-,15.2,-,-,AMB,-,25,-,65,-15,66.3,-,-,9.5,13.4,0.01,42.08,1.24,0.88,-,-,-,-,-,Deleted,Nm3/h,,,100미만 소수점 한자리,
,,RO-3430,YIP3-4003,GA-3430 Discharge,RESTRICTION ORIFICE,"3/4""",FF55C,PPA,L,-,1.37,-,-,AMB,-,2.1,-,200,-,0.8,-,-,0.73,1210,4,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3430AX,YIP3-0009,GA-3430 SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3430CX,YIP3-0009,GA-3430 SEAL PLAN,RESTRICTION ORIFICE,"1/2""",FF55C,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3510,YIP3-8025,GA-3510 Discharge,RESTRICTION ORIFICE,"1""",BB55C,WW,L,-,0.6,-,-,25,-,2.1,-,60,-,0.9,-,-,0.2,997.2,0.89,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3510AX,YIP3-0009,GA-3510 SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3510CX,YIP3-0009,GA-3510 SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3513,YIP3-8025,SM TO FLARE MAIN,RESTRICTION ORIFICE,"8""",BB57C,SM,S,-,9.8,-,-,198,-,12,-,250,-,5600,-,50,1.6,5.1,0.02,18,1.36,0.96,-,-,-,-,FC,To be confirmed by vendor.,kg/h,,,100이상 소수 반올림,
,,RO-3514,YIP3-8025,SM TO FLARE STAGED,RESTRICTION ORIFICE,"3""",BB57C,SM,S,-,9.8,-,-,198,-,12,-,250,-,700,-,200,1.6,5.1,0.02,18,1.36,0.96,-,-,-,-,FC,To be confirmed by vendor.,kg/h,,,100이상 소수 반올림,
,,RO-3815A,YIP3-8011,GA-3815A Discharge,RESTRICTION ORIFICE,"1-1/2""",BB55C,CL,L,-,11.87,-,-,100,-,15.5,-,150,-,14,-,-,9.12,958,0.28,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,RO-3815B,YIP3-8011,GA-3815B Discharge,RESTRICTION ORIFICE,"1-1/2""",BB55C,CL,L,-,11.87,-,-,100,-,15.5,-,150,-,14,-,-,9.12,958,0.28,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
