TagStatus,Rev,TagNo,PIDNo,Service,InstrumentType,LineSize,LineSpec,FluidName,FluidState,OPMax,OPNor,OPMin,OTMax,OTNor,OTMin,DesignPressInt,DesignPressExt,DesignTempHot,DesignTempCold,FlowMax,FlowNor,FlowMin,MaxAllowDP,Density,Viscosity,MolWeight,CpCv,CompFactorZ,CriticalPress,VaporPress,Flash,ShutOffDP,FailPosition,Remark,FlowUOM,PressUOM,TempUOM,InstRemark1,InstRemark2
,,,,     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LV-3112,YIP3-1001,EA-3112 TUBE OUTLET,GLOBE,"3""",FF59C,PDI ,L,-,33,-,-,115,-,55,-,250,-,20.17797695,18.34361541,12.84053079,0.7,859.1,0.24,-,-,-,-,33.98,0.03,-,FC," - Outlet Condition :
   Vapor = MW : 42.8, Viscosity : 0.013, Cp/Cv : 1.33
   Liquid =  Density : 859.2, Viscosity : 0.237",,,,,
,,LV-3113,YIP3-1001,NaOH (20%) TO FA-3112,GLOBE,"1""",BB55C1,PCS,L,-,2,-,-,AMB,-,10,-,65,-,0.19,0.149,0.104,0.7,1220,5,-,-,-,-,0.02,-,-,FC,,,,,,
,,LV-3135,YIP3-0005,EA-3134 SHELL INLET,GLOBE,"1""",FF55C,PDI ,L,-,0.97,-,-,101.5,-,8,-,250,-,0.1,0.02,0.014,MIN,880.1,0.27,-,-,-,-,2,-,-,FC,,,,,,
,,LV-3147,YIP3-1002,FC-3120 OUTLET,GLOBE,"1""",BB59C1,PDI ,L,-,31,-,-,94,-,55,-,150,-,2,1.666666667,1.166666667,30,868.8,0.29,-,-,-,-,32.03,100,-,FC," - Outlet Condition :
   Vapor = MW : 43.6 Viscosity : 0.013 Cp/Cv : 1.45
   Liquid =  Density : - Viscosity : -",,,,,
,,LV-3150,YIP3-1003,FC-3150 FEED INLET,GLOBE,"4""",BB59C1,PDI ,L,-,31.3,-,-,94,-,55,-,150,-,77.89914805,70.81740732,49.57218513,14.2,868.6,0.29,-,-,-,-,28.35,4.3,-,FC," - Outlet Condition :
   Vapor = MW : 43.4, Viscosity : 0.011, Cp/Cv : 1.20
   Liquid =  Density : 890.9, Viscosity : 0.305",,,,,
,,LV-3157,YIP3-1003,FC-3155 FEED INLET,GLOBE,"4""",BB57C1,PDI ,L,-,16.8,-,-,93,-,20,-,140,-,72.68470086,66.07700079,46.25390055,16,890.9,0.31,-,-,-,-,17.83,1.7,-,FC," - Outlet Condition :
   Vapor = MW : 39.2, Viscosity : 0.011, Cp/Cv : 1.14
   Liquid =  Density : 904.9, Viscosity : 0.341",,,,,
,,LV-3161,YIP3-1003,GA-3163A/B DISCHARGE,GLOBE,"1 1/2""",BB55C1,PDI ,L,-,6.3,-,-,73,-,8.4,-,120,-,3,1.681667543,1.17716728,0.7,760.4,0.41,-,-,-,-,1.37,-,-,FC,,,,,,
,,LV-3317,YIP3-3001,PDI TO FC-3315 ,GLOBE,"2""",BB55C1,PDI ,L,-,0.04,-,-,45,-,2,-,150,-,3,1.737819026,1.216473318,0.02,862,0.5,-,-,-,-,0.58,-,-,FC,,,,,,
,,LV-3320,YIP3-3003,EA-3324 TUBE OUTLET,GLOBE,"3""",BB55C1,WW,L,-,6.4,-,-,40,-,11.9,-,150,-,18.39782346,15.33151955,10.73206368,4.2,992.4,0.65,-,-,-,-,0.08,-,-,FC,,,,,,
